STATES,BASIN,LONGITUDE,LATITUDE, ID STN (2016),ID STN BARU,LOCATION,Freq,SUNGAI,SMP-DAT,Time,"DO
% Sat","DO 
mg/l","BOD
mg/l","COD
mg/l","SS
mg/l",pH,"NH3-N
mg/l","TEMP
 °C",WQI,CLASS,"RIVER
STATUS"
SELANGOR,KLANG,101.750134,3.232191,1K45,2BKLG005,KLANG GATE,2,KLANG,10/1/2019,1:02:00 PM,115.633,8.692,3,13,3,7.114,0.37,30.32,89,II,Clean
SELANGOR,KLANG,101.750134,3.232191,1K45,2BKLG005,KLANG GATE,3,KLANG,12/3/2019,12:11:00 PM,148.19,10.792,3,13,3,6.927,0.09,32.173,93,I,Clean
SELANGOR,KLANG,101.750134,3.232191,1K45,2BKLG005,KLANG GATE,4,KLANG,10/5/2019,3:53:00 PM,112.915,8.045,4,15,4,7.398,0.39,33.486,87,II,Clean
SELANGOR,KLANG,101.750134,3.232191,1K45,2BKLG005,KLANG GATE,5,KLANG,11/7/2019,11:19:00 AM,116.977,8.734,4,14,7,7.196,0.31,30.653,88,II,Clean
SELANGOR,KLANG,101.750134,3.232191,1K45,2BKLG005,KLANG GATE,6,KLANG,11/9/2019,12:09:00 PM,117.331,8.684,5,15,4,7.143,0.38,31.225,87,II,Clean
SELANGOR,KLANG,101.750134,3.232191,1K45,2BKLG005,KLANG GATE,1,KLANG,7/11/2019,12:46:00 PM,101.12,7.733,4,14,34,6.917,0.12,29.324,88,II,Clean
SELANGOR,KLANG,101.755936,3.206971,1K46,2BKLG006,ZOO LUAR,2,KLANG,10/1/2019,11:48:00 AM,76.415,5.763,6,15,18,7.093,2.8,30.116,74,III,Slightly Polluted
SELANGOR,KLANG,101.755936,3.206971,1K46,2BKLG006,ZOO LUAR,3,KLANG,12/3/2019,10:57:00 AM,77.244,5.805,4,14,27,7.649,2.32,30.323,76,III,Slightly Polluted
SELANGOR,KLANG,101.755936,3.206971,1K46,2BKLG006,ZOO LUAR,4,KLANG,10/5/2019,2:17:00 PM,65.079,4.828,4,16,26,7.368,2.89,31.057,71,III,Slightly Polluted
SELANGOR,KLANG,101.755936,3.206971,1K46,2BKLG006,ZOO LUAR,5,KLANG,11/7/2019,10:38:00 AM,73.471,5.659,4,14,6,6.918,0.94,28.958,81,II,Clean
SELANGOR,KLANG,101.755936,3.206971,1K46,2BKLG006,ZOO LUAR,6,KLANG,11/9/2019,10:56:00 AM,64.606,4.961,5,16,7,7.598,3.33,29.075,71,III,Slightly Polluted
SELANGOR,KLANG,101.755936,3.206971,1K46,2BKLG006,ZOO LUAR,1,KLANG,7/11/2019,11:34:00 AM,86.831,6.699,6,18,31,7.57,0.79,28.82,80,II,Slightly Polluted
SELANGOR,KLANG,101.376878,3.016563,1K01,2BKLG016,NORTHPORT,2,KLANG,7/1/2019,11:08:00 AM,33.467,2.432,13,26,163,6.787,4.83,29.801,47,IV,Polluted
SELANGOR,KLANG,101.376878,3.016563,1K01,2BKLG016,NORTHPORT,3,KLANG,7/3/2019,9:41:00 AM,46.026,3.201,6,24,130,7.243,3.9,30.353,56,III,Polluted
SELANGOR,KLANG,101.376878,3.016563,1K01,2BKLG016,NORTHPORT,4,KLANG,7/5/2019,9:56:00 AM,31.882,2.213,8,25,99,6.86,2.22,31.006,54,III,Polluted
SELANGOR,KLANG,101.376878,3.016563,1K01,2BKLG016,NORTHPORT,5,KLANG,8/7/2019,10:40:00 AM,68.058,4.493,5,21,18,7.456,0.95,30.604,76,III,Slightly Polluted
SELANGOR,KLANG,101.376878,3.016563,1K01,2BKLG016,NORTHPORT,6,KLANG,6/9/2019,10:37:00 AM,50.569,3.427,6,24,55,7.43,1.49,30.087,65,III,Slightly Polluted
SELANGOR,KLANG,101.376878,3.016563,1K01,2BKLG016,NORTHPORT,1,KLANG,6/11/2019,10:25:00 AM,44.243,3.213,6,20,54,7.529,3.75,30.743,58,III,Polluted
SELANGOR,KLANG,101.446625,3.045897,1K02,2BKLG022,BANDAR KLANG,2,KLANG,7/1/2019,11:46:00 AM,47.477,3.599,7,23,747,7.52,5.94,29.769,49,IV,Polluted
SELANGOR,KLANG,101.446625,3.045897,1K02,2BKLG022,BANDAR KLANG,3,KLANG,7/3/2019,10:13:00 AM,39.797,2.976,18,26,293,7.706,7.66,30.626,43,IV,Polluted
SELANGOR,KLANG,101.446625,3.045897,1K02,2BKLG022,BANDAR KLANG,4,KLANG,7/5/2019,10:26:00 AM,31.351,2.336,11,28,86,7.908,5.11,30.764,47,IV,Polluted
SELANGOR,KLANG,101.446625,3.045897,1K02,2BKLG022,BANDAR KLANG,5,KLANG,8/7/2019,11:11:00 AM,34.759,2.703,5,23,33,7.97,2.37,28.303,59,III,Polluted
SELANGOR,KLANG,101.446625,3.045897,1K02,2BKLG022,BANDAR KLANG,6,KLANG,6/9/2019,11:24:00 AM,30.654,2.325,7,28,24,7.414,3.63,29.737,55,III,Polluted
SELANGOR,KLANG,101.446625,3.045897,1K02,2BKLG022,BANDAR KLANG,1,KLANG,6/11/2019,11:50:00 AM,38.289,2.901,6,23,20,7.891,3.74,29.8,58,III,Polluted
SELANGOR,KLANG,101.472604,3.042362,1K03,2BKLG023,TNB CONOUGHT,2,KLANG,7/1/2019,12:30:00 PM,40.567,3.073,11,36,399,7.392,6.32,29.823,45,IV,Polluted
SELANGOR,KLANG,101.472604,3.042362,1K03,2BKLG023,TNB CONOUGHT,3,KLANG,7/3/2019,12:24:00 PM,35.51,2.634,15,32,104,7.373,8.54,31.024,46,IV,Polluted
SELANGOR,KLANG,101.472604,3.042362,1K03,2BKLG023,TNB CONOUGHT,4,KLANG,7/5/2019,11:05:00 AM,26.716,1.99,15,34,65,7.597,4.8,30.798,44,IV,Polluted
SELANGOR,KLANG,101.472604,3.042362,1K03,2BKLG023,TNB CONOUGHT,5,KLANG,8/7/2019,11:38:00 AM,29.912,2.325,8,30,31,7.746,2.5,28.371,55,III,Polluted
SELANGOR,KLANG,101.472604,3.042362,1K03,2BKLG023,TNB CONOUGHT,6,KLANG,6/9/2019,11:44:00 AM,44.039,3.334,9,35,16,7.131,3.42,29.852,58,III,Polluted
SELANGOR,KLANG,101.472604,3.042362,1K03,2BKLG023,TNB CONOUGHT,1,KLANG,6/11/2019,12:43:00 PM,31.008,2.349,9,30,21,7.615,3.86,29.824,53,III,Polluted
SELANGOR,KLANG,101.550903,3.029567,1K04,2BKLG024,HICOM,2,KLANG,7/1/2019,2:44:00 PM,30.187,2.308,10,20,28,7.31,4.63,29.324,53,III,Polluted
SELANGOR,KLANG,101.550903,3.029567,1K04,2BKLG024,HICOM,3,KLANG,7/3/2019,1:26:00 PM,37.16,2.788,13,23,34,7.386,8.72,30.384,52,III,Polluted
